"Position","Nickname","Species","Nature","Gender","ESV","HP_Type","Ability","Move1","Move2","Move3","Move4","HeldItem","HP","ATK","DEF","SPA","SPD","SPE","MetLoc","EggLoc","Ball","OT","Version","OTLang","Legal","EncounterType","EC","PID","IV_HP","IV_ATK","IV_DEF","IV_SPA","IV_SPD","IV_SPE","EXP","Level","EV_HP","EV_ATK","EV_DEF","EV_SPA","EV_SPD","EV_SPE","Cool","Beauty","Cute","Smart","Tough","Sheen","NotOT","AbilityNum","GenderFlag","Form","PokerusStrain","PokerusDays","MetLevel","OriginalTrainerGender","FatefulEncounter","IsEgg","IsNicknamed","IsShiny","TID16","SID16","TSV","Move1_PP","Move2_PP","Move3_PP","Move4_PP","Move1_PPUp","Move2_PPUp","Move3_PPUp","Move4_PPUp","Relearn1","Relearn2","Relearn3","Relearn4","Checksum","Friendship","EggYear","EggMonth","EggDay","MetYear","MetMonth","MetDay"
"main @ [32] (Box 32)-12: 0479-01 - ロトム - 8460C1DAFA8C.pk9","ロトム","ロトム","ひかえめ","-","4059","ドラゴン","ふゆう","オーバーヒート","１０まんボルト","ボルトチェンジ","おにび","オボンのみ","304","121","250","339","250","209","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","C1DAFA8C","94B1690E","31","0","31","31","31","31","1000000","100","252","0","0","252","0","6","0","0","0","0","0","0","i","4","2","1","0","0","1","0","False","False","False","False","4120","43968","3005","8","24","32","24","3","3","3","3","かげぶんしん","おどろかす","(なし)","(なし)","33888","255","2026","5","14","2026","5","14"
"main @ [24] (Box 24)-12: 0479 - ロトム - 80132970E746.pk9","ロトム","ロトム","ひかえめ","-","3077","ドラゴン","ふゆう","かげぶんしん","おどろかす","(なし)","(なし)","(なし)","242","94","190","317","190","281","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","2970E746","F78637DE","31","0","31","31","31","31","1000000","100","6","0","0","252","0","252","0","0","0","0","0","0","i","4","2","0","0","0","1","0","False","False","False","False","4120","43968","3005","15","15","0","0","0","0","0","0","かげぶんしん","おどろかす","(なし)","(なし)","32787","255","2026","5","14","2026","5","14"
"main @ [24] (Box 24)-14: 0479-02 - ロトム - 1D5B07C50313.pk9","ロトム","ロトム","ずぶとい","-","1376","ドラゴン","ふゆう","ハイドロポンプ","ボルトチェンジ","１０まんボルト","おにび","オボンのみ","304","121","344","246","250","209","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","07C50313","35E663E8","31","0","31","31","31","31","1000000","100","252","0","252","0","0","6","0","0","0","0","0","0","i","4","2","2","0","0","1","0","False","False","False","False","4120","43968","3005","8","32","24","24","3","3","3","3","かげぶんしん","おどろかす","(なし)","(なし)","7515","255","2026","5","14","2026","5","14"
"main @ [24] (Box 24)-01: 0479 - ロトム - 39AD00CD4C29.pk9","ロトム","ロトム","がんばりや","-","0164","かくとう","ふゆう","かげぶんしん","おどろかす","(なし)","(なし)","(なし)","12","6","6","6","6","6","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","00CD4C29","6BF461BE","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","i","4","2","0","0","0","1","0","False","False","False","False","4120","43968","3005","15","15","0","0","0","0","0","0","かげぶんしん","おどろかす","(なし)","(なし)","14765","255","2026","5","14","2026","5","14"
"main @ [24] (Box 24)-02: 0479-02 - ロトム - 19C8FCFB127A.pk9","ロトム","ロトム","ひかえめ","-","0777","ドラゴン","ふゆう","かげぶんしん","おどろかす","(なし)","(なし)","(なし)","242","121","250","339","250","271","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","FCFB127A","EC50DCC7","31","0","31","31","31","31","1000000","100","6","0","0","252","0","252","0","0","0","0","0","0","i","4","2","2","0","0","1","0","False","False","False","False","4120","43968","3005","15","15","0","0","0","0","0","0","かげぶんしん","おどろかす","(なし)","(なし)","6600","255","2026","5","14","2026","5","14"
"main @ [24] (Box 24)-03: 0479-01 - ロトム - 67A6EFDF3D2A.pk9","ロトム","ロトム","ひかえめ","-","3695","ドラゴン","ふゆう","かげぶんしん","おどろかす","(なし)","(なし)","(なし)","242","121","250","339","250","271","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","EFDF3D2A","F8051EF1","31","0","31","31","31","31","1000000","100","6","0","0","252","0","252","0","0","0","0","0","0","i","4","2","1","0","0","1","0","False","False","False","False","4120","43968","3005","15","15","0","0","0","0","0","0","かげぶんしん","おどろかす","(なし)","(なし)","26534","255","2026","5","14","2026","5","14"
"main @ [24] (Box 24)-04: 0479-05 - ロトム - A12E02E462B9.pk9","ロトム","ロトム","ひかえめ","-","2788","ドラゴン","ふゆう","かげぶんしん","おどろかす","(なし)","(なし)","(なし)","242","121","250","339","250","271","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","02E462B9","DF5F711B","31","0","31","31","31","31","1000000","100","6","0","0","252","0","252","0","0","0","0","0","0","i","4","2","5","0","0","1","0","False","False","False","False","4120","43968","3005","15","15","0","0","0","0","0","0","かげぶんしん","おどろかす","(なし)","(なし)","41262","255","2026","5","14","2026","5","14"
"main @ [24] (Box 24)-05: 0479-03 - ロトム - 2C78CFA1A84A.pk9","ロトム","ロトム","ひかえめ","-","0315","ドラゴン","ふゆう","かげぶんしん","おどろかす","(なし)","(なし)","(なし)","242","121","250","339","250","271","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","CFA1A84A","F53BE68B","31","0","31","31","31","31","1000000","100","6","0","0","252","0","252","0","0","0","0","0","0","i","4","2","3","0","0","1","0","False","False","False","False","4120","43968","3005","15","15","0","0","0","0","0","0","かげぶんしん","おどろかす","(なし)","(なし)","11384","255","2026","5","14","2026","5","14"
"main @ [24] (Box 24)-13: 0479-02 - ロトム - 254914C5ADBB.pk9","ロトム","ロトム","ひかえめ","-","2712","ドラゴン","ふゆう","ハイドロポンプ","ボルトチェンジ","１０まんボルト","トリック","こだわりスカーフ","242","121","250","339","250","271","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","14C5ADBB","A8ED016E","31","0","31","31","31","31","1000000","100","6","0","0","252","0","252","0","0","0","0","0","0","i","4","2","2","0","0","1","0","False","False","False","False","4120","43968","3005","8","32","24","16","3","3","3","3","かげぶんしん","おどろかす","(なし)","(なし)","9545","255","2026","5","14","2026","5","14"
"main @ [05] (Box 5)-01: 0897 - レイスポス - 0A85DB4E0366.pk9","レイスポス","レイスポス","おくびょう","-","0654","ドラゴン","くろのいななき","こうそくいどう","あばれる","かなしばり","すてみタックル","(なし)","341","121","156","326","196","325","ナッペ山 (1)","－－－－－－－－－－","モンスターボール","i","スカーレット","Japanese","True","Static Encounter","DB4E0366","911EB9F6","31","0","31","31","31","31","1250000","100","0","0","0","0","0","0","0","0","0","0","0","0","i","1","2","0","0","0","70","0","False","False","False","False","4120","43968","3005","48","16","32","24","3","3","3","3","(なし)","(なし)","(なし)","(なし)","2693","255","1","1","1","2025","8","11"
"main @ [05] (Box 5)-04: 0897 - レイスポス - 2CB805784CFE.pk9","レイスポス","レイスポス","ひかえめ","-","0530","ドラゴン","くろのいななき","あばれる","かなしばり","すてみタックル","わるだくみ","(なし)","342","121","156","427","196","359","カンムリしんでん (カンムリせつげん)","－－－－－－－－－－","モンスターボール","i","ソード","Japanese","True","Static Encounter","05784CFE","61484069","31","0","31","31","31","31","1250000","100","6","0","0","252","0","252","0","0","0","0","0","0","i","1","2","0","0","0","75","0","False","False","False","False","49494","51587","141","10","20","15","20","0","0","0","0","(なし)","(なし)","(なし)","(なし)","11448","255","1","1","1","2024","9","24"
"main @ [31] (Box 31)-01: 0448 - ルカリオ - A5B9E8B8A058.pk9","ルカリオ","ルカリオ","ようき","M","1638","あく","せいしんりょく","インファイト","バレットパンチ","じしん","つるぎのまい","(なし)","282","319","176","239","176","306","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","E8B8A058","C9EFAF80","31","31","31","31","31","31","1059860","100","6","252","0","0","0","252","0","0","0","0","0","0","i","2","0","0","0","0","1","0","False","False","False","False","4120","43968","3005","8","48","16","32","3","3","3","3","でんこうせっか","こらえる","(なし)","(なし)","42425","255","2026","5","16","2026","5","16"
"main @ [31] (Box 31)-02: 0448 - ルカリオ - 0EB97B40CFEB.pk9","ルカリオ","ルカリオ","おくびょう","M","3866","あく","せいしんりょく","しんくうは","はどうだん","ラスターカノン","わるだくみ","(なし)","282","287","176","266","176","306","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","7B40CFEB","00D2F17E","31","31","31","31","31","31","1059860","100","6","252","0","0","0","252","0","0","0","0","0","0","i","2","0","0","0","0","1","0","False","False","False","False","4120","43968","3005","48","32","16","32","3","3","3","3","でんこうせっか","こらえる","(なし)","(なし)","3769","255","2026","5","16","2026","5","16"
"main @ [31] (Box 31)-06: 0448 ★ - ルカリオ - 5B30CAA28D61.pk9","ルカリオ","ルカリオ","むじゃき","M","3005","ゴースト","せいしんりょく","ラスターカノン","はどうだん","バレットパンチ","れいとうパンチ","(なし)","213","193","125","200","112","179","すてきな場所","－－－－－－－－－－","プレシャスボール","i","スカーレット","Japanese","True","Event Gift (WC9)","CAA28D61","93DA2802","31","31","20","31","20","31","429235","75","0","0","0","0","0","0","0","0","0","0","0","0","","2","0","0","0","0","75","0","True","False","False","True","4120","43968","3005","10","20","30","15","0","0","0","0","ラスターカノン","はどうだん","バレットパンチ","れいとうパンチ","23344","50","1","1","1","2023","12","7"
"main @ [31] (Box 31)-03: 0448 - ルカリオ - 733EB07FABFE.pk9","ルカリオ","ルカリオ","むじゃき","M","1551","あく","せいしんりょく","インファイト","ラスターカノン","バレットパンチ","あくのはどう","(なし)","281","319","176","267","158","306","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","B07FABFE","452225DC","31","31","31","31","31","31","1059860","100","0","252","0","6","0","252","0","0","0","0","0","0","i","2","0","0","0","0","1","0","False","False","False","False","4120","43968","3005","8","16","48","24","3","3","3","3","でんこうせっか","こらえる","(なし)","(なし)","29502","255","2026","5","16","2026","5","16"
"main @ [11] (Box 11)-05: 0006 - リザードン - 1EDAE2215A1C.pk9","リザードン","リザードン","おくびょう","M","1051","あく","もうか","ひっかく","なきごえ","(なし)","(なし)","(なし)","298","183","192","317","206","328","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","E2215A1C","3D027CB4","31","31","31","31","31","31","1059860","100","6","0","0","252","0","252","0","0","0","0","0","0","i","1","0","0","0","0","1","0","False","False","False","False","4120","43968","3005","35","40","0","0","0","0","0","0","ひっかく","なきごえ","(なし)","(なし)","7898","255","2026","5","14","2026","5","14"
"main @ [11] (Box 11)-04: 0006 - リザードン - C2806CB396FF.pk9","リザードン","リザードン","ようき","M","1514","あく","もうか","ひっかく","なきごえ","(なし)","(なし)","(なし)","298","267","192","228","206","328","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","6CB396FF","4EFB105A","31","31","31","31","31","31","1059860","100","6","252","0","0","0","252","0","0","0","0","0","0","i","1","0","0","0","0","1","0","False","False","False","False","4120","43968","3005","35","40","0","0","0","0","0","0","ひっかく","なきごえ","(なし)","(なし)","49792","255","2026","5","14","2026","5","14"
"main @ [11] (Box 11)-03: 0006 - リザードン - 16EF71A6E570.pk9","リザードン","リザードン","いじっぱり","M","0920","あく","もうか","ひっかく","なきごえ","(なし)","(なし)","(なし)","298","293","192","228","206","299","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","71A6E570","EAA7D327","31","31","31","31","31","31","1059860","100","6","252","0","0","0","252","0","0","0","0","0","0","i","1","0","0","0","0","1","0","False","False","False","False","4120","43968","3005","35","40","0","0","0","0","0","0","ひっかく","なきごえ","(なし)","(なし)","5871","255","2026","5","14","2026","5","14"
"main @ [11] (Box 11)-27: 0006 - リザードン - 61760FB629D2.pk9","リザードン","リザードン","おくびょう","M","0214","ドラゴン","もうか","ウェザーボール","ニトロチャージ","ソーラービーム","りゅうのはどう","(なし)","298","155","192","317","206","328","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","0FB629D2","FC65F100","31","0","31","31","31","31","1059860","100","6","0","0","252","0","252","0","0","0","0","0","0","i","1","0","0","0","0","1","0","False","False","False","False","4120","43968","3005","16","32","16","16","3","3","3","3","ひっかく","なきごえ","(なし)","(なし)","24950","255","2026","5","14","2026","5","14"
"main @ [11] (Box 11)-07: 0006 - リザードン - A64D05D83439.pk9","リザードン","リザードン","いじっぱり","M","0934","あく","もうか","フレアドライブ","げきりん","かみなりパンチ","りゅうのまい","(なし)","298","293","192","228","206","299","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","05D83439","929EA8FA","31","31","31","31","31","31","1059860","100","6","252","0","0","0","252","0","0","0","0","0","0","i","1","0","0","0","0","1","0","False","False","False","False","4120","43968","3005","24","16","24","32","3","3","3","3","ひっかく","なきごえ","(なし)","(なし)","42573","255","2026","5","14","2026","5","14"
"main @ [11] (Box 11)-06: 0006 - リザードン - 25EFA06EF403.pk9","リザードン","リザードン","ひかえめ","M","3000","あく","もうか","ひっかく","なきごえ","(なし)","(なし)","(なし)","298","183","192","348","206","299","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","A06EF403","38A68320","31","31","31","31","31","31","1059860","100","6","0","0","252","0","252","0","0","0","0","0","0","i","1","0","0","0","0","1","0","False","False","False","False","4120","43968","3005","35","40","0","0","0","0","0","0","ひっかく","なきごえ","(なし)","(なし)","9711","255","2026","5","14","2026","5","14"
"main @ [11] (Box 11)-28: 0006 - リザードン - C6A4506A7BC4.pk9","リザードン","リザードン","おくびょう","F","0385","ドラゴン","もうか","オーバーヒート","かえんほうしゃ","ソーラービーム","げんしのちから","(なし)","298","155","192","317","206","328","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","506A7BC4","26793E6F","31","0","31","31","31","31","1059860","100","6","0","0","252","0","252","0","0","0","0","0","0","i","1","1","0","0","0","1","0","False","False","False","False","4120","43968","3005","8","24","16","8","3","3","3","3","ひっかく","なきごえ","(なし)","(なし)","50852","255","2026","5","14","2026","5","14"
"main @ [11] (Box 11)-30: 0006 - リザードン - 258E16751544.pk9","リザードン","リザードン","おくびょう","F","0784","ドラゴン","もうか","ウェザーボール","ニトロチャージ","ソーラービーム","りゅうのはどう","(なし)","298","155","192","317","206","328","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","16751544","C13CF03F","31","0","31","31","31","31","1059860","100","6","0","0","252","0","252","0","0","0","0","0","0","i","1","1","0","0","0","1","0","False","False","False","False","4120","43968","3005","16","32","16","16","3","3","3","3","ひっかく","なきごえ","(なし)","(なし)","9614","255","2026","5","14","2026","5","14"
"main @ [11] (Box 11)-29: 0006 - リザードン - A14FD14B9118.pk9","リザードン","リザードン","おくびょう","F","3290","ドラゴン","もうか","ニトロチャージ","かえんほうしゃ","ソーラービーム","エアスラッシュ","(なし)","298","155","192","317","206","328","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","D14B9118","F0EF3D42","31","0","31","31","31","31","1059860","100","6","0","0","252","0","252","0","0","0","0","0","0","i","1","1","0","0","0","1","0","False","False","False","False","4120","43968","3005","32","24","16","24","3","3","3","3","ひっかく","なきごえ","(なし)","(なし)","41295","255","2026","5","14","2026","5","14"
"main @ [11] (Box 11)-17: 0006 - リザードン - 7C5E1B49AFED.pk9","リザードン","リザードン","いじっぱり","F","0233","あく","もうか","フレアドライブ","げきりん","じしん","りゅうのまい","(なし)","298","293","192","228","206","299","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","1B49AFED","81748FEB","31","31","31","31","31","31","1059860","100","6","252","0","0","0","252","0","0","0","0","0","0","i","1","1","0","0","0","1","0","False","False","False","False","4120","43968","3005","24","16","16","32","3","3","3","3","ひっかく","なきごえ","(なし)","(なし)","31838","255","2026","5","14","2026","5","14"
"main @ [11] (Box 11)-11: 0006 - リザードン - 9DB263C66953.pk9","リザードン","リザードン","おくびょう","M","0905","ドラゴン","もうか","ウェザーボール","ソーラービーム","りゅうのはどう","みがわり","(なし)","298","155","192","317","206","328","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","63C66953","913FA9A6","31","0","31","31","31","31","1059860","100","6","0","0","252","0","252","0","0","0","0","0","0","i","1","0","0","0","0","1","0","False","False","False","False","4120","43968","3005","16","16","16","16","3","3","3","3","ひっかく","なきごえ","(なし)","(なし)","40370","255","2026","5","14","2026","5","14"
"main @ [11] (Box 11)-13: 0006 - リザードン - 11F478854B2A.pk9","リザードン","リザードン","いじっぱり","M","2539","あく","もうか","フレアドライブ","ドラゴンクロー","かみなりパンチ","りゅうのまい","(なし)","298","293","192","228","206","299","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","78854B2A","0C939223","31","31","31","31","31","31","1059860","100","6","252","0","0","0","252","0","0","0","0","0","0","i","1","0","0","0","0","1","0","False","False","False","False","4120","43968","3005","24","24","24","32","3","3","3","3","ひっかく","なきごえ","(なし)","(なし)","4596","255","2026","5","14","2026","5","14"
"main @ [11] (Box 11)-14: 0006 - リザードン - FA21A5129FAC.pk9","リザードン","リザードン","いじっぱり","M","1777","あく","もうか","フレアドライブ","げきりん","じしん","りゅうのまい","(なし)","298","293","192","228","206","299","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","A5129FAC","170A781A","31","31","31","31","31","31","1059860","100","6","252","0","0","0","252","0","0","0","0","0","0","i","1","0","0","0","0","1","0","False","False","False","False","4120","43968","3005","24","16","16","32","3","3","3","3","ひっかく","なきごえ","(なし)","(なし)","64033","255","2026","5","14","2026","5","14"
"main @ [11] (Box 11)-15: 0006 - リザードン - D5BCA16F0E1A.pk9","リザードン","リザードン","いじっぱり","M","1496","あく","もうか","フレアドライブ","ドラゴンクロー","ニトロチャージ","つるぎのまい","(なし)","298","293","192","228","206","299","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","A16F0E1A","8334DEB2","31","31","31","31","31","31","1059860","100","6","252","0","0","0","252","0","0","0","0","0","0","i","1","0","0","0","0","1","0","False","False","False","False","4120","43968","3005","24","24","32","32","3","3","3","3","ひっかく","なきごえ","(なし)","(なし)","54716","255","2026","5","14","2026","5","14"
"main @ [11] (Box 11)-16: 0006 - リザードン - 1D3C5D09CDE8.pk9","リザードン","リザードン","いじっぱり","F","0337","あく","もうか","フレアドライブ","ドラゴンクロー","ニトロチャージ","つるぎのまい","(なし)","298","293","192","228","206","299","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","5D09CDE8","5E354B2F","31","31","31","31","31","31","1059860","100","6","252","0","0","0","252","0","0","0","0","0","0","i","1","1","0","0","0","1","0","False","False","False","False","4120","43968","3005","24","24","32","32","3","3","3","3","ひっかく","なきごえ","(なし)","(なし)","7484","255","2026","5","14","2026","5","14"
"main @ [11] (Box 11)-18: 0006 - リザードン - C320E852C4F9.pk9","リザードン","リザードン","いじっぱり","F","1273","あく","もうか","フレアドライブ","ドラゴンクロー","かみなりパンチ","りゅうのまい","(なし)","298","293","192","228","206","299","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","E852C4F9","073448AC","31","31","31","31","31","31","1059860","100","6","252","0","0","0","252","0","0","0","0","0","0","i","1","1","0","0","0","1","0","False","False","False","False","4120","43968","3005","24","24","24","32","3","3","3","3","ひっかく","なきごえ","(なし)","(なし)","49952","255","2026","5","14","2026","5","14"
"main @ [11] (Box 11)-25: 0006 - リザードン - 863FC68FE8E6.pk9","リザードン","リザードン","おくびょう","M","2472","ドラゴン","もうか","オーバーヒート","かえんほうしゃ","ソーラービーム","げんしのちから","(なし)","298","155","192","317","206","328","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","C68FE8E6","5D84C701","31","0","31","31","31","31","1059860","100","6","0","0","252","0","252","0","0","0","0","0","0","i","1","0","0","0","0","1","0","False","False","False","False","4120","43968","3005","8","24","16","8","3","3","3","3","ひっかく","なきごえ","(なし)","(なし)","34367","255","2026","5","14","2026","5","14"
